angle,distance
4.396320761156342,221.75
4.430409223109356,222.5
4.474042454409214,222.5
4.475133285191711,223.0
4.514130485665959,223.5
4.536219809011512,223.75
4.5389468859677535,224.5
4.571399101747023,225.25
4.596488209744441,226.25
4.608760056047527,227.0
4.643666641087413,228.25
4.657029318172994,229.5
4.687572580082896,231.0
4.694935687864747,232.25
4.731478519078378,234.0
4.727933319035264,238.0
4.744023073077087,238.0
4.786292765898825,239.25
4.8135635354612365,241.75
4.838925351154279,244.0
4.839743474241151,246.5
4.8741046438897895,249.25
4.87683172084603,252.5
4.912011013581541,255.0
4.917192459798399,258.25
4.937918244665832,262.0
4.958916737228889,265.75
4.9815514759656905,269.25
4.997095814616265,273.25
5.012367445571215,277.75
5.035820307394889,282.0
5.065272738522293,286.75
5.080544369477244,291.75
5.097452246605939,297.75
5.119814277647116,303.0
5.139449231732052,308.75
5.162902093555726,314.75
5.184446001510031,320.5
5.201899294029975,327.5
5.22617027894052,335.0
5.243623571460464,344.5
5.459062651003514,485.0
5.481151974349067,487.75
5.499423389955883,508.0
5.5212400056058115,526.0
5.5419657904732444,549.25
5.561600744558181,578.0
5.580690283251869,606.5
5.601416068119302,651.25
5.621323729899862,637.25
5.645867422506032,631.25
5.667956745851585,626.75
5.688682530719018,623.0
5.71268080793394,618.25
5.733406592801373,616.25
5.756586746929422,613.75
5.777857947188103,611.75
5.819582224618593,431.5
5.840853424877274,430.75
5.861579209744706,429.75
5.88039604074277,429.75
5.901394533305827,429.0
5.924029272042628,428.75
5.950481918518167,429.25
5.968753334124983,429.75
5.993569734426777,429.25
6.01293198081609,430.0
6.0385665042047565,430.25
6.054656258246579,431.75
6.0767455815921325,432.5
6.104561766545792,434.25
6.121742351370111,435.5
6.142740843933168,436.75
6.167557244234962,439.25
6.1866467829286504,442.0
6.209008813969827,443.5
6.224007737229154,515.25
6.257823491486544,403.25
0.008453938564347533,372.0
0.03408846195301425,348.75
0.056995908385439824,326.75
0.08481209333909945,309.0
0.10553787820653211,292.5
0.1461713248545251,276.75
0.17235126363444003,264.0
0.2064397255874543,251.75
0.21598449493429828,241.0
0.27052603405912107,231.5
0.2628902185816459,222.5
0.29206994201342606,214.25
0.33652129640015666,206.5
0.3583379120500858,199.75
0.380427235395639,193.75
0.40251655874119224,188.0
0.4232423436086249,182.5
0.44505895925855404,178.25
0.4671482826041073,172.75
0.4889648982540364,168.5
0.5197808678595612,165.25
0.5415974835094904,161.5
0.5636868068550436,158.25
0.5855034225049728,155.25
0.6073200381549019,152.25
0.629136653804831,150.0
0.6509532694547601,148.0
0.6730425928003133,149.25
0.7101308394051928,143.5
0.7169485317957957,141.75
0.7581273938350369,140.25
0.760854470791278,138.0
0.7826710864412072,136.75
0.8044877020911363,135.0
0.8265770254366895,134.0
0.8511207180428597,132.75
0.8729373336927889,132.0
0.92802428820886,131.25
0.9514771500325337,130.75
0.9389325960338245,130.0
0.9866564427680444,129.75
0.9831112427249309,129.25
1.0387436126322502,129.25
1.0556514897609452,129.0
1.0491065050659665,128.75
1.1069205365382786,128.5
1.107738659625151,128.25
1.1284644444925838,128.25
1.1371910907525553,128.0
1.1614620756631016,128.0
1.1988230299636051,128.0
1.203459060789215,128.0
1.2255483841347683,128.0
1.2476377074803215,128.0
1.303815492778889,128.25
1.3144510929082294,128.25
1.3128148467344847,128.25
1.334904170080038,128.25
1.3569934934255912,128.5
1.3788101090755203,128.75
1.4008994324210735,129.25
1.4229887557666268,129.25
1.44507807911218,129.5
1.4922565104551517,130.0
1.4892567258032865,130.25
1.5110733414532156,130.75
1.5331626647987688,131.25
1.555251988144322,131.75
1.5770686037942512,132.75
1.5991579271398044,134.0
1.6212472504853577,135.0
1.643336573830911,136.5
1.66515318948084,137.75
1.6875152205220174,139.0
1.7093318361719465,140.5
1.7314211595174998,142.0
1.753510482863053,143.75
1.7709637753829963,146.0
1.7974164218585353,147.5
1.8195057452040886,149.75
1.8413223608540177,151.75
1.863411684199571,154.0
1.8855010075451242,156.5
1.9075903308906774,159.5
1.9294069465406065,162.5
1.9514962698861598,164.25
1.9733128855360889,167.25
1.9866755626216703,170.5
2.008764885967224,173.5
2.030854209312777,177.0
2.052670824962706,181.0
2.0747601483082594,184.75
2.098213010131933,189.0
2.120029625781862,193.5
2.1421189491274153,198.25
2.1642082724729685,203.0
2.1642082724729685,208.25
2.1972059036434866,213.75
2.230203534814004,219.5
2.2522928581595574,226.75
2.2743821815051106,233.25
2.296471504850664,240.75
