angle,distance
4.752749719337059,303.75
4.786292765898825,307.0
4.80920021233125,298.5
4.820381227851839,291.5
4.8462884589361295,284.5
4.877377136237278,279.0
4.906556859669059,272.75
4.916101629015903,267.75
4.9433723985783145,262.5
4.96627984501074,258.5
5.005004337789364,254.0
5.014821814831832,249.75
5.035820307394889,246.25
5.072908553999769,242.75
5.087089354172222,239.25
5.109996800604648,236.25
5.160720431990733,233.0
5.155538985773875,231.0
5.204353663290592,228.25
5.195899724726244,225.75
5.220443417332414,223.5
5.270348925631627,221.5
5.292165541281556,219.75
5.301164895237152,218.0
5.327617541712691,216.5
5.358160803622591,220.0
5.405884650356811,211.75
5.445427266222308,211.0
5.466971174176614,210.25
5.489060497522167,209.5
5.489878620609039,209.5
5.532693728822025,209.0
5.554783052167578,208.5
5.576599667817507,208.25
5.5984162834674365,208.5
5.620232899117365,208.25
5.642322222462918,208.5
5.661957176547855,209.0
5.685955453762777,209.25
5.69277314615338,209.75
5.729861392758259,210.25
5.751678008408188,210.75
5.7734946240581175,211.5
5.795583947403671,212.5
5.817400563053599,213.25
5.819309516922968,214.75
5.861579209744706,215.5
5.85721588661472,217.25
5.905212441044564,218.25
5.931392379824479,220.0
5.928392595172614,221.75
5.9709349956899755,223.5
5.976116441906834,225.25
5.989479118992415,227.75
6.01102302694672,229.5
6.0584741659853165,232.0
6.08056348933087,234.75
6.0800180739396215,237.5
6.095562412590196,240.5
6.143831674715664,243.0
6.128014628369465,247.75
6.155012690236253,254.5
6.184737829059281,255.0
6.1978277984492385,259.0
6.22046253718604,263.0
6.248551429835324,267.25
6.270640753180877,271.75
0.00545415391248228,276.25
0.014726215563702155,281.5
0.04854196982109229,286.75
0.05317800064670223,293.0
0.07390378551413489,298.75
0.09326603190344698,305.25
0.11726430911836902,311.25
0.14562590946327686,317.25
0.1557160942013691,325.25
0.17807812524254643,332.0
0.2026218178487167,340.25
0.2222567719336529,349.5
0.24407338758358202,359.0
0.2615266801035253,368.5
0.27761643414534803,381.5
0.301342003664646,389.0
0.32288591161895097,400.75
0.34170274261701483,414.0
0.35997415822383044,427.75
0.3760639122656532,443.75
0.39733511252433407,460.5
0.41860631278301497,479.25
0.4387866822591994,499.5
0.4537856055185257,521.0
0.48105637508093707,504.75
0.507236313860852,441.25
0.5342343757276393,414.5
0.5639595145506677,383.0
0.5915029918087032,360.25
0.6165920998061217,340.75
0.6449537001510296,322.25
0.6645886542359658,307.5
0.6962227469283631,292.75
0.7196756087520368,280.0
0.7395832705325971,267.75
0.7627634246606468,256.75
0.7993062558742781,247.0
0.8513934257384839,238.0
0.8478482256953704,229.75
0.8794823183877676,221.75
0.9173886880795195,217.5
0.9285697036001082,208.5
0.9612946270750018,201.5
0.9831112427249309,195.75
1.0052005660704841,190.75
1.0272898894160374,185.75
1.0493792127615906,180.75
1.0709231207158956,176.5
1.0930124440614488,172.5
1.115101767407002,169.0
1.145645029316903,165.25
1.1677343526624562,162.5
1.1895509683123853,159.25
1.2113675839623144,156.5
1.2334569073078676,154.0
1.2552735229577967,151.75
1.2784536770858463,149.5
1.3005430004313996,147.25
1.3223596160813287,145.5
1.3553572472518465,143.75
1.385355093770499,142.75
1.3886275861179884,140.75
1.425715832722868,139.5
1.4325335251134708,138.25
1.454622848459024,137.0
1.4767121718045773,136.0
1.4985287874545064,135.25
1.5206181108000596,134.25
1.5427074341456128,133.5
1.564524049795542,132.75
1.586340665445471,132.25
1.6157930965728755,132.0
1.6305193121365775,131.5
1.6749706665233082,131.5
1.6744252511320599,131.0
1.6965145744776131,131.0
1.729512205648131,131.0
1.760328175253656,131.0
1.7625098368186487,130.75
1.7865081140335708,131.0
1.806415775814131,131.0
1.8342319607677906,133.25
1.8505944225052375,132.75
1.8724110381551666,131.25
1.9064995001081808,131.5
1.9468602390605498,132.0
1.9654043623629895,132.25
1.9602229161461313,132.5
1.9823122394916846,133.0
2.004401562837238,133.5
2.0218548553571813,134.25
2.0728511944388903,135.0
2.0703968251782734,135.5
2.0922134408282025,136.75
2.1143027641737557,137.5
2.136119379823685,138.5
2.158208703169238,139.75
2.1802980265147913,141.0
2.2021146421647204,142.25
2.2351122733352384,143.5
2.2460205811602028,145.25
2.268109904505756,146.5
2.2901992278513092,147.75
2.3177427051093447,149.75
2.339832028454898,151.75
2.3559217824967207,153.25
2.378011105842274,155.25
2.400100429187827,157.5
2.4219170448377563,159.75
2.4440063681833095,162.0
2.461459660703253,164.5
2.487912307178792,167.25
2.5012749842643736,170.25
2.5241824306967993,173.0
2.5462717540423525,176.25
2.5680883696922816,180.0
2.590177693037835,183.25
2.612267016383388,187.0
2.6343563397289413,190.75
2.6561729553788704,195.25
2.6782622787244237,199.5
2.684261848028154,204.25
2.7077147098518277,209.25
2.729804033197381,214.5
2.7606200028029058,220.25
2.761165418194154,225.25
2.791163264712807,232.75
2.8004353263640267,238.5
2.8167977881014736,245.5
2.8380689883601544,253.0
2.8718847426175445,261.5
2.8740664041825372,270.5
2.8909742813112325,280.25
2.9130636046567857,289.75
2.9416979126973177,302.5
2.9536970513047787,314.0
2.9676051437816087,326.5
2.9918761286921547,339.0
3.0104202519945944,355.5
3.0295097906882824,371.25
3.052417237120708,380.25
3.07177948351002,368.25
3.0971412992030625,357.75
3.121957699504857,346.5
3.143774315154786,337.5
3.1685907154565807,329.25
3.1879529618458924,321.0
3.212769362147687,313.75
3.243858039448836,306.75
3.273037762880616,299.75
3.2877639784443184,294.0
3.316670994180474,287.75
3.337396779047907,282.5
3.361667763958453,277.0
3.3913929027814818,272.25
